DatasetId, Date of Index to Publish, Time since last successful harvest in hours, Number of Records Published
1, 2022-03-25 15:04:35, 0, 6
3, 2022-02-18 17:04:12, 6, 12118
6, 2022-06-07 05:21:05, 8, 7360
7, 2022-04-04 16:04:46, 166, 96
8, 2022-04-04 16:50:16, 0, 281
11, 2022-08-04 14:12:01, 0, 30
13, 2022-04-28 16:11:08, 0, 818
14, 2022-03-14 16:47:39, 0, 96
15, 2022-03-14 16:53:06, 0, 9
18, 2022-03-18 13:28:51, 0, 3
19, 2022-03-23 14:30:03, 0, 11
20, 2022-05-19 09:27:58, 0, 3
21, 2022-04-08 16:45:49, 0, 22
23, 2022-04-08 14:40:19, 0, 5
24, 2022-04-08 17:39:23, 0, 2
25, 2022-04-12 14:49:04, 0, 2
28, 2022-05-12 12:51:12, 0, 2
29, 2022-05-12 16:48:34, 0, 4
30, 2022-05-12 16:42:28, 0, 30
31, 2022-06-20 16:43:09, 0, 30
32, 2022-05-13 15:02:01, 0, 1
33, 2022-05-13 16:51:58, 0, 30
34, 2022-05-13 19:07:32, 0, 3
35, 2022-05-16 11:52:53, 0, 3
36, 2022-06-07 06:39:35, 9, 5557
37, 2022-06-06 20:28:07, 0, 30
41, 2022-09-02 10:03:05, 0, 4
42, 2022-08-04 14:13:28, 1366, 30
44, 2022-06-09 13:48:04, 0, 30
45, 2022-06-10 17:50:37, 6, 5557
46, 2022-06-17 16:01:35, 0, 30
47, 2022-06-17 16:53:06, 0, 2
48, 2022-06-17 17:08:36, 0, 5
49, 2022-07-05 11:52:35, 0, 72
50, 2022-07-15 15:22:38, 0, 30
51, 2022-07-12 14:33:38, 23, 30
52, 2022-07-25 18:13:25, 0, 1
54, 2022-07-27 13:18:56, 0, 30
55, 2022-07-26 13:48:26, 0, 96
56, 2022-08-11 10:32:59, 24, 30
57, 2022-08-17 11:49:28, 0, 96
58, 2022-10-24 16:15:45, 0, 3
59, 2022-08-29 10:20:34, 0, 96
60, 2022-09-06 14:34:52, 0, 30
61, 2022-09-05 16:33:53, 0, 1
62, 2022-10-25 17:27:58, 0, 152
63, 2022-12-22 17:59:39, 4, 3398
64, 2022-11-22 12:15:34, 0, 152
65, 2022-10-21 14:41:46, 0, 21
66, 2022-11-15 11:39:05, 120, 7
